City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,heroica caborca,30.7167,-112.15,30.98,22,0,4.9,MX,1727406027
271,mashhad,36.297,59.6062,15.08,72,75,2.06,IR,1727406028
272,hongseong,36.6009,126.665,24.94,61,35,2.62,KR,1727405977
273,barra de santo antonio,-9.4047,-35.5072,23.99,80,14,4.57,BR,1727406030
274,saint-pierre,-21.3393,55.4781,21.82,73,100,2.57,RE,1727406031
275,labuan bajo,-8.4964,119.8877,29.86,66,8,2.46,ID,1727406032
276,bermejo,-32.8833,-68.8,13.95,44,0,2.06,AR,1727406033
277,north bend,43.4065,-124.2243,13.48,79,4,0.84,US,1727406036
278,gariaband,20.635,82.0614,25.69,90,100,3.5,IN,1727406037
279,brokopondo,4.75,-55.1667,27.42,72,4,5.94,SR,1727406038
280,noosa heads,-26.3833,153.15,18.83,79,100,7.34,AU,1727406039
281,road town,18.4167,-64.6167,28.02,83,40,3.6,VG,1727405966
282,cam pha mines,21.0167,107.3,28.9,66,63,1.95,VN,1727406041
283,fort bragg,35.139,-79.006,24.91,96,100,3.6,US,1727406043
284,dondo,-19.6094,34.7431,21.73,91,2,2.4,MZ,1727406044
285,havre,49.5833,0.3333,11.87,76,40,8.23,FR,1727406045
286,villa gesell,-37.2639,-56.973,9.12,63,0,2.58,AR,1727406046
287,puerto baquerizo moreno,-0.9,-89.6,20.03,88,97,5.11,EC,1727406047
288,artigas,-30.4,-56.4667,14.15,94,95,4.7,UY,1727406002
289,meskiana,35.6306,7.6661,22.15,50,5,3.4,DZ,1727406049
290,saldanha,-33.0117,17.9442,12.03,95,33,4.32,ZA,1727406052
291,kayangel,8.0823,134.7173,28.72,76,5,2.61,PW,1727406053
292,raton,36.9034,-104.4391,18.34,42,0,4.12,US,1727406054
293,sao geraldo do araguaia,-6.4006,-48.555,30.38,42,80,0.33,BR,1727406055
294,happy valley-goose bay,53.3168,-60.3315,8.17,81,20,1.03,CA,1727406056
295,diffa,13.3154,12.6113,28.77,50,8,1.75,NE,1727406057
296,vadso,70.0744,29.7487,6.09,93,75,4.12,NO,1727406058
297,kyshtovka,56.555,76.6271,0.91,68,12,2.2,RU,1727406059
298,itamaraca,-7.7478,-34.8256,23.62,86,81,3.47,BR,1727406061
299,xai-xai,-25.0519,33.6442,20.5,79,39,8.05,MZ,1727406062
300,kailua-kona,19.6406,-155.9956,25.86,96,100,2.77,US,1727406063
301,pirallahi,40.4723,50.333,19.08,55,90,7.4,AZ,1727406064
302,sitka,57.0531,-135.33,8.92,78,99,2.51,US,1727406065
303,binkolo,8.9533,-11.9779,21.87,99,100,0.34,SL,1727406066
304,seysses,43.5,1.3167,14.2,88,100,3.09,FR,1727406069
305,callao,-12.0667,-77.15,17.16,77,100,2.06,PE,1727405713
306,kamina,-8.7386,24.9906,20.35,44,48,1.54,CD,1727406071
307,aasiaat,68.7098,-52.8699,1.98,73,100,1.05,GL,1727406072
308,fray luis beltran,-39.3167,-65.7667,16.3,19,100,9.7,AR,1727406073
309,zaozersk,69.4005,32.4476,7.17,92,100,5.3,RU,1727406075
310,mocimboa,-11.3167,40.35,20.66,93,24,1.56,MZ,1727406076
311,illizi,26.4833,8.4667,30.88,28,23,1.49,DZ,1727406064
312,novyy urgal,51.0736,132.5642,14.94,59,82,0.88,RU,1727406078
313,san borja,-14.8167,-66.85,22.28,92,92,4.81,BO,1727406080
314,sao joao da barra,-21.6403,-41.0511,23.2,80,0,13.44,BR,1727406082
315,macapa,0.0389,-51.0664,28.99,79,0,5.66,BR,1727405933
316,kpandae,8.4689,-0.0113,22.91,94,64,2.01,GH,1727406084
317,jawf al maqbabah,13.8378,45.8349,27.92,35,56,1.46,YE,1727406086
318,sumenep,-7.0167,113.8667,31.16,57,63,5.08,ID,1727406087
319,alofi,-19.0595,-169.9187,25.94,61,75,8.23,NU,1727406088
320,hailar,49.2,119.7,18.42,37,76,5.12,CN,1727406090
321,wenchang,30.904,118.4887,28.28,62,0,4.72,CN,1727406092
322,cidreira,-30.1811,-50.2056,16.75,97,100,4.32,BR,1727406093
323,chui,-33.6971,-53.4616,13.92,93,66,3.5,UY,1727406094
324,vernon,50.2581,-119.2691,13.74,63,100,1.03,CA,1727406096
325,boende,-0.2167,20.8667,21.14,96,96,0.94,CD,1727406097
326,jinchang,38.4953,102.1739,23.54,37,0,4.56,CN,1727406098
327,santiago de cao,-7.9589,-79.2392,16.07,94,40,4.12,PE,1727406099
328,kumylzhenskaya,49.8809,42.5898,9.98,46,88,3.95,RU,1727406101
329,constitucion,-35.3333,-72.4167,10.5,76,100,3.42,CL,1727406007
330,tralee,52.2704,-9.7026,9.2,86,99,7.95,IE,1727406074
331,mahibadhoo,3.7833,72.9667,27.7,68,100,7.95,MV,1727406104
332,east london,-33.0153,27.9116,15.15,75,20,1.71,ZA,1727406004
333,bayanhongor,46.7167,100.1167,6.88,64,71,1.0,MN,1727406107
334,el haouaria,37.05,11.0144,25.01,84,4,5.18,TN,1727405987
335,ola,59.5833,151.2833,8.83,69,2,2.84,RU,1727406109
336,bengkulu,-3.8004,102.2655,29.78,66,76,4.06,ID,1727406110
337,portland,45.5234,-122.6762,19.46,73,5,1.34,US,1727405860
338,port saint john's,-31.6229,29.5448,16.11,78,62,3.32,ZA,1727406112
339,fale old settlement,-9.3852,-171.2468,25.34,83,100,3.85,TK,1727406113
340,anloga,5.7947,0.8973,25.21,88,98,4.08,GH,1727406114
341,tarko-sale,64.9225,77.785,0.31,78,89,3.96,RU,1727406115
342,huambo,-12.7761,15.7392,17.89,68,97,1.54,AO,1727406118
343,buka,40.8108,69.1986,16.14,53,100,3.16,UZ,1727406119
344,ust-nera,64.5667,143.2,6.85,65,53,2.05,RU,1727406120
345,cadale,2.7603,46.3222,24.94,85,77,7.54,SO,1727406121
346,canutama,-6.5339,-64.3831,24.72,80,40,1.48,BR,1727406122
347,namibe,-15.1961,12.1522,19.54,92,68,3.49,AO,1727406123
348,zeya,53.75,127.2667,16.69,50,52,5.53,RU,1727406124
349,isla mujeres,21.2311,-86.731,25.65,86,39,3.07,MX,1727406125
350,koungou,-12.7336,45.2042,22.84,88,0,3.09,YT,1727406021
351,pariaman,-0.619,100.12,29.03,73,64,2.14,ID,1727406128
